"","MSBG01","MSBG03","MSBG04","MSBG05","MSBG06A","MSBG06B","MSBG06C","MSBG06D","MSBG06E","MSBG06F","MSBG06G","MSBG06H","MSBG07A","MSBG07B","MSBG09","MSBG10A","MSBG10B","MSBG10C","MSBG10D","MSBG10E","MSBG10F","MSBG10G","MSBG10H","MSBG10I","MSBG10J","MSBG10K","MSBG10L","MSBG10M","MSBG12A","MSBG12B","MSBG13A","MSBM14","MSBM15","MSBM16A","MSBM17A","MSBM18A","MSBM18B","MSBM18C","MSBM18D","MSBM18F","MSBM18G","MSBM18H","MSBM18I","MSBM18J","MSBM18K","MSBM18L","MSBM18M","MSBM18N","MSBM18O","MSBM19A","MSBM19B","MSBM19C","MSBM19D","MSBM19E","MSBM19F","MSBM19G","MSBM20A","MSBM20B","MSBM20C","MSBM20D","MSBM20E","MSBM20F","MSBM20G","MSBM20H","MSBM20I","MSBM20J","MSBM20K","MSBM20L","MSBM21A","MSBM21B","MSBM21C","MSBM21E","MSBM21F","MSBM21G","MSBM21H","MSBM21I","MSBM22A","MSBM22B","MSBM22C","MSBM22D","MSBM22E","MSBM22F","MSBM22G","MSBM22H","MSBM22I","MSBM23A","MSBM23B","MSBM23C","MSBM23D","MSBM23E","MSBM23F","MSBM23G","MSBM23H","TOTWGT","AtRisk"
"837",2,1,5,4,1,1,1,1,1,1,1,1,7,7,5,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,350,300,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,1,1,1,1,4,2,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,142.824833,"0"
"838",2,1,5,4,1,2,2,1,1,1,1,1,6,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,350,60,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,3,2,4,1,1,1,1,4,1,1,1,4,1,4,1,3,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,185.564895,"0"
"839",1,1,4,4,2,2,1,1,1,1,1,1,6,7,5,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,350,300,1,2,2,1,2,3,2,1,2,2,1,1,2,4,1,3,2,2,1,2,1,1,1,2,1,1,4,4,1,3,2,4,4,1,4,1,1,3,1,4,1,1,1,2,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,142.824833,"0"
"840",2,1,3,5,2,1,1,1,1,1,1,1,6,6,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,350,0,2,1,4,1,3,4,4,3,2,3,1,1,1,4,1,4,2,2,2,2,2,2,2,4,2,1,4,4,1,4,1,4,4,1,1,4,4,1,4,2,2,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,142.824833,"0"
"841",1,2,2,4,1,2,1,1,1,2,1,2,8,7,5,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,250,100,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,3,2,2,3,1,1,2,3,3,3,1,1,3,1,3,1,1,2,2,1,1,1,3,1,1,2,2,4,4,4,4,4,4,4,4,1023.108092,"0"
"842",1,1,5,5,1,1,1,1,1,1,1,1,6,8,4,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,275,80,2,1,2,2,2,4,4,2,2,3,2,2,3,3,1,3,2,1,1,1,2,2,2,3,1,2,4,4,1,4,1,3,4,2,4,2,2,2,2,3,2,2,3,3,1,2,1,3,2,2,2,3,3,2,4,3,4,4,4,4,131.503734,"1"
"843",1,1,4,4,1,1,1,1,1,1,1,1,5,7,5,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,250,120,2,2,1,1,2,3,2,2,1,2,2,1,3,3,2,3,1,1,1,2,1,2,2,4,2,2,3,3,3,2,3,3,3,3,3,3,1,1,1,3,1,2,3,2,1,1,1,2,1,1,1,2,3,2,3,4,4,3,4,4,131.503734,"0"
"844",1,2,5,4,1,1,1,1,2,1,1,1,6,7,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,275,165,1,1,2,1,3,3,2,3,2,3,2,2,3,3,2,4,1,1,1,1,2,2,2,3,1,1,3,2,1,3,3,3,3,2,3,1,1,2,1,3,1,1,1,3,1,1,2,3,1,2,1,3,4,4,4,3,4,4,4,4,131.503734,"0"
"845",1,2,5,4,1,1,1,1,1,1,1,1,6,7,5,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,300,300,2,2,2,1,1,3,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,4,2,2,4,4,3,1,1,2,3,2,1,1,1,1,1,2,1,1,3,3,1,3,1,1,2,1,1,2,4,3,3,4,4,4,4,4,131.503734,"0"
"846",2,1,3,4,1,2,1,1,1,1,1,2,7,6,5,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,240,20,1,2,2,2,2,2,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,3,3,2,3,3,2,3,3,1,2,1,3,1,2,2,2,1,3,2,2,2,2,2,2,4,3,4,4,4,4,4,4,131.503734,"0"
"847",2,2,4,4,1,1,1,1,1,1,1,2,5,3,5,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,250,200,1,2,1,1,1,2,2,3,1,2,3,1,1,3,2,1,2,1,1,2,1,2,2,2,2,2,3,2,3,3,1,2,1,4,3,3,1,4,1,3,1,2,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,1023.108092,"0"
